Movie_Title,Released_Year,Rating,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,No_of_Votes,Gross,Num_Genres
The Visitor,2007,PG-13,104,Drama,7.6,79.0,Tom McCarthy,Richard Jenkins,41544,9422422,1
Seven Pounds,2008,PG-13,123,Drama,7.6,36.0,Gabriele Muccino,Will Smith,286770,69951824,1
Eastern Promises,2007,R,100,Action,7.6,82.0,David Cronenberg,Naomi Watts,227760,17114882,3
Stardust,2007,G,127,Adventure,7.6,66.0,Matthew Vaughn,Charlie Cox,255036,38634938,3
Inside Man,2006,R,129,Crime,7.6,76.0,Spike Lee,Denzel Washington,339757,88513495,3
Gone Baby Gone,2007,R,114,Crime,7.6,72.0,Ben Affleck,Morgan Freeman,250590,20300218,3
La Vie En Rose,2007,PG-13,140,Biography,7.6,66.0,Olivier Dahan,Marion Cotillard,82781,10301706,3
Huo Yuan Jia,2006,PG-13,104,Action,7.6,70.0,Ronny Yu,Jet Li,72863,24633730,3
The Illusionist,2006,G,110,Drama,7.6,68.0,Neil Burger,Edward Norton,354728,39868642,3
Harry Potter and the Half-Blood Prince,2009,PG-13,153,Action,7.6,78.0,David Yates,Daniel Radcliffe,474827,301959197,3
300,2006,R,117,Action,7.6,52.0,Zack Snyder,Gerard Butler,732876,210614939,2
Match Point,2005,R,124,Drama,7.6,72.0,Woody Allen,Scarlett Johansson,206294,23089926,3
Watchmen,2009,R,162,Action,7.6,56.0,Zack Snyder,Jackie Earle Haley,500799,107509799,3
Lord of War,2005,R,122,Action,7.6,62.0,Andrew Niccol,Nicolas Cage,294140,24149632,3
Saw,2004,PG-13,103,Horror,7.6,46.0,James Wan,Cary Elwes,379020,56000369,3
"Synecdoche, New York",2008,R,124,Drama,7.6,67.0,Charlie Kaufman,Philip Seymour Hoffman,83158,3081925,1
Mysterious Skin,2004,R,105,Drama,7.6,73.0,Gregg Araki,Brady Corbet,65939,697181,1
Jeux d'enfants,2003,R,93,Comedy,7.6,45.0,Yann Samuell,Guillaume Canet,67360,548707,3
Un long dimanche de fiançailles,2004,G,133,Drama,7.6,76.0,Jean-Pierre Jeunet,Audrey Tautou,70925,6167817,3
The Station Agent,2003,R,89,Comedy,7.6,81.0,Tom McCarthy,Peter Dinklage,67370,5739376,2
21 Grams,2003,PG-13,124,Crime,7.6,70.0,Alejandro G. Iñárritu,Sean Penn,224545,16290476,3
Boksuneun naui geot,2002,R,129,Crime,7.6,56.0,Chan-wook Park,Kang-ho Song,62659,45289,3
Finding Neverland,2004,G,106,Biography,7.6,67.0,Marc Forster,Johnny Depp,198677,51680613,3
25th Hour,2002,R,135,Drama,7.6,68.0,Spike Lee,Edward Norton,169708,13060843,1
The Butterfly Effect,2004,G,113,Drama,7.6,30.0,Eric Bress,J. Mackye Gruber,451479,57938693,3
28 Days Later...,2002,R,113,Drama,7.6,73.0,Danny Boyle,Cillian Murphy,376853,45064915,3
